,user_id,business_id,stars,text
726863,F-XkGoU9tZxZLdGI6JAtZw,NJyTPOukXuLK8vabKw7nvA,3.0,"The noodles weren't as al dente as I had hoped, but they didn't exactly disappointed. Flavour was hit and miss, but if spicy is your inclination, then you've come to the right place. 

The pickled noodles with shredded pork was my favourite. The Shanghai fired noodles was too soggy and drenched with too much oil, and the pan fried onion cake was just so wrong. It was maligned by the deep fryer. 

Overall, it's worth returning. Make sure you arrive early and with cash (no credit or debit)."
2577614,t8RWJ-QUJU149W1WdAeruw,gCY17N6YBR8gTMveklFktA,5.0,"We've been dining at Ruby Tuesday for about 6 or 7 years now (ever since it opened in Avondale).  There have been some real misses in years' passed, but every visit in 2012 has been enjoyable.  Tonight's dinner was simply perfect.  I had a steak with potato and the wife had the grilled chicken breast (she had them leave the bbq sauce in the kitchen) with a side of grilled zucchini.  We both opted for the salad bar. Every bite was delicious and cooked perfectly.

Even the silly little cheesy ""biscuits"" were good tonight (those can be hit or miss, but tonight they were definitely good).

The service has been excellent this year, too, and we're noticing that the staff isn't changing as quickly as it did for a while.  Must be a new manager or something.  Whatever it is, the prices are good, the menu is simple but has good choices and the classic RT salad bar is never a disappointment.  The interior decor is very comfortable.  We both like that they keep the lights a little low, makes for a nicer meal."
531600,Ahdo2T-uQ-qO-6FM88M4mg,ZtsnwjxjzMUI6tDZNrJUeA,3.0,Place is a hit or miss.   Sometimes it is great and at other times it is below average.  However the breakfast here is very good.  We come mostly for the breakfast but if we are in a gambling mood we will give lunch a try.  One last thing the need to upgrade there wifi.   Dead zones like you you are in zombie land
1708371,_jG88iKcByEQuhBB1Tz_Qw,tK_NS6MD42O0IQHKhp7xag,1.0,"It seems every time I come to this Pharmacy, they are not organized or they promise a time and it's never ready. I'll go to the one on 3975 E. Thunderbird, Phoenix, AZ 85032. Ask for Mary! She's the best!! This place has horrible service in Pharmacy!"
2009421,gQDLi67PvBxEWsQYAcyMsw,_umqWeKgc9aaOp66guXkUQ,5.0,Clean clinic and friendly staff! Great organization with an honorable purpose!
2114845,ii4GvW9-89liHMwXZblYKg,E62l6LwZJ7lKaExcUbrtYw,5.0,"A great place, outstanding food and price, try the claims (huge) all u can eat the best deal here and open very late.

Very highly recommended no wait, just great! 
Love this place."
1447623,UyuWAvDcLp4zU1Wfc1PNXg,wUKzaS1MHg94RGM6z8u9mw,4.0,"Took my parents here for our traditional weekly dinner and it was lovely! I thought I had made reservations through the automated system but my age must be showing because they didn't have us on the list and thus no outside seating and wow, they have some lovely outside seating among these great heavily leafed trees but still, seated in less than 15 minutes.

Instead of full meals we shared a series of appetizers. I wasn't crazy ab out the Bruschetta but the lamb meatballs were good. My parents also enjoyed the hummus and I guess my overall favorite was the fresh sliced bread with the pesto sauce amazing. I did have a cocktail, the Cactus Blossom and the server did warn me it was on the sweet side but honestly, taste reminded me somewhat of cough syrup so I won't order that one again. However, you get your money's worth as I definitely felt the cocktail when it was done.

I guess I thought the food was good but what I especially liked was that the place had that operational hum of excellence which I've come to expect from the Fox Restaurants Concepts group. They know how to run eating establishments with a high end focus  and it shows. I look forward to coming back here again, though I have to try that outside seating when the weather is nice, looks wonderful. :-)"
725225,EyaluppfmU_oI5pb2jF1TQ,_YHMJ_bFgSoZbiZ6MDf2kw,3.0,"I truly do favor locally-owned coffee shops, but depending on where I am in town Starbucks may have to do. This location is okay -- I've never had a problem with the service. This location has outdoor seating that faces the Bethany Home\/16 St intersection. There's a nice view of the mountains to the northeast. 

Some other facets of the location I am compelled to warn you about. 

1. Parking -- not much of it, and very tight. You risk being towed if you don't watch where you park. Other businesses are on this corner and they're very protective of their parking. 
2. Getting in and out -- on the Bethany Home side, you really need to be driving east to turn in (right). Otherwise, it needs to be 8 p.m. On the 16th St side, you really need to turn right to go north on 16th -- turning left will hold up everyone behind you and you need to watch for traffic in at least 4 lanes. Again, to make a south turn on 16th St it really needs to be REALLY early in the morning or REALLY late at night. Any other time of day and you're asking for a fender-bender. 

It's an okay location; you just need to be careful how you come in and leave, and where you park."
1447712,Uyyjtzt8lPzD4fQdyarbgA,b8fEuQPrf383f6pzdm8-1w,2.0,"Not a fan!  I had Fajitas which had very little flavor and the tortilla chips were covered in salt.  The more outrageous part was this meal cost more than $20.  Mexican food should not cost that much, especially in Charlotte, NC.  The servers were definitely friendly, but I'm not rating the service here.  The food itself just wasn't that great.  Maybe it was an off night.  Sorry."
1475005,VaPXwMOI9zbzz__ZqUvIKQ,VoHTd4QkPGWXl6IGI72isQ,5.0,This is definitely the best Indian food I've ever had. I've been here a few times and it's pretty inexpensive compared to other Indian places in the area and the customer service is flawless. Everything is delicious and is actually a decent portion size! I got the chicken tikka masala and it lasted me three days with the rice that comes with it and the yummy garlic naan bread that's only $2.50. I wish more people knew about this place!
